installation_step,bar_index,entity_id,guid,name,tag,length_mm,radius_mm,entry_direction,forced_core_resolution
1,1959,255348,3DV3DpgWr5jemi28WiSVIo,主梁钢筋_N14:主梁钢筋_N14:672328,672328,4516.57736,6.00000,0.00000000;0.00000000;-1.00000000,0
2,1960,258145,3DV3DpgWr5jemi28WiSVI4,主梁钢筋_N14:主梁钢筋_N14:672382,672382,4516.57736,6.00000,0.00000000;0.00000000;-1.00000000,0
3,1961,258156,3DV3DpgWr5jemi28WiSVHJ,主梁钢筋_N14:主梁钢筋_N14:672425,672425,4516.57736,6.00000,0.00000000;0.00000000;-1.00000000,0
4,1962,258167,3DV3DpgWr5jemi28WiSVHF,主梁钢筋_N14:主梁钢筋_N14:672437,672437,4516.57736,6.00000,0.00000000;0.00000000;-1.00000000,0
5,1954,246921,3DV3DpgWr5jemi28WiSOhs,主梁钢筋_N12a:主梁钢筋_N12a:670732,670732,28580.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
6,1949,246854,3DV3DpgWr5jemi28WiSOr6,主梁钢筋_N12a:主梁钢筋_N12a:670652,670652,28580.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
7,1859,234855,226IH29Rv9RAUPmQtypWMb,主梁钢筋_N10:主梁钢筋_N10:652198,652198,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
8,1926,246576,3DV3DpgWr5jemi28WiSOoV,主梁钢筋_N11:主梁钢筋_N11:670309,670309,25400.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
9,1925,246552,3DV3DpgWr5jemi28WiSOp0,主梁钢筋_N11:主梁钢筋_N11:670266,670266,25400.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
10,1872,234998,226IH29Rv9RAUPmQtypWuH,主梁钢筋_N10:主梁钢筋_N10:653330,653330,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
11,3422,391510,28bDEHmEj4Au0d6XGDElB5,封锚钢筋_M4:封锚钢筋_M4:715563,715563,300.00000,4.00000,0.00000000;0.00000000;-1.00000000,0
12,3418,391454,28bDEHmEj4Au0d6XGDElCr,封锚钢筋_M4:封锚钢筋_M4:715483,715483,300.00000,4.00000,0.00000000;0.00000000;-1.00000000,0
13,3420,391488,28bDEHmEj4Au0d6XGDElBc,封锚钢筋_M4:封锚钢筋_M4:715528,715528,300.00000,4.00000,0.00000000;0.00000000;-1.00000000,0
14,3416,391406,28bDEHmEj4Au0d6XGDElEk,封锚钢筋_M4:封锚钢筋_M4:715328,715328,300.00000,4.00000,0.00000000;0.00000000;-1.00000000,0
15,1860,234866,226IH29Rv9RAUPmQtypW3u,主梁钢筋_N10:主梁钢筋_N10:653051,653051,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
16,1873,235009,226IH29Rv9RAUPmQtypWuN,主梁钢筋_N10:主梁钢筋_N10:653332,653332,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
17,1953,246910,3DV3DpgWr5jemi28WiSOhm,主梁钢筋_N12a:主梁钢筋_N12a:670730,670730,28580.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
18,1948,246843,3DV3DpgWr5jemi28WiSOrE,主梁钢筋_N12a:主梁钢筋_N12a:670644,670644,28580.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
19,3289,389270,0uegOgAsjDrBLfn4efvxFO,吊点加强钢筋_B3:吊点加强钢筋_B3:710135,710135,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
20,3291,389294,0uegOgAsjDrBLfn4efvxFM,吊点加强钢筋_B3:吊点加强钢筋_B3:710137,710137,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
21,3369,390855,0uegOgAsjDrBLfn4efvx3X,吊点加强钢筋_B3:吊点加强钢筋_B3:710350,710350,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
22,3371,390879,0uegOgAsjDrBLfn4efvx3$,吊点加强钢筋_B3:吊点加强钢筋_B3:710352,710352,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
23,3290,389282,0uegOgAsjDrBLfn4efvxFN,吊点加强钢筋_B3:吊点加强钢筋_B3:710136,710136,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
24,3288,389258,0uegOgAsjDrBLfn4efvxFP,吊点加强钢筋_B3:吊点加强钢筋_B3:710134,710134,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
25,3370,390867,0uegOgAsjDrBLfn4efvx3W,吊点加强钢筋_B3:吊点加强钢筋_B3:710351,710351,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
26,3368,390843,0uegOgAsjDrBLfn4efvx3Y,吊点加强钢筋_B3:吊点加强钢筋_B3:710349,710349,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
27,3328,390387,0uegOgAsjDrBLfn4efvx1R,吊点加强钢筋_B3:吊点加强钢筋_B3:710260,710260,708.38924,10.00000,0.00000000;0.00000000;-1.00000000,0
28,3408,391299,0uegOgAsjDrBLfn4efvx4l,吊点加强钢筋_B3:吊点加强钢筋_B3:710400,710400,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
29,3330,390411,0uegOgAsjDrBLfn4efvx1P,吊点加强钢筋_B3:吊点加强钢筋_B3:710262,710262,708.38908,10.00000,0.00000000;0.00000000;-1.00000000,0
