time_s,installation_step,bar_index,phase,x_mm,y_mm,z_mm,qx,qy,qz,qw,gripper
0.000000,1,1959,preinsert,14090.487102,-1470.303329,792.693065,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.099558,1,1959,preinsert,14090.487102,-1470.303329,790.572967,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.199115,1,1959,preinsert,14090.487102,-1470.303329,777.351067,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.298673,1,1959,preinsert,14090.487102,-1470.303329,746.081904,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.398231,1,1959,preinsert,14090.487102,-1470.303329,693.757599,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.497789,1,1959,preinsert,14090.487102,-1470.303329,620.651596,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.597346,1,1959,preinsert,14090.487102,-1470.303329,529.662396,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.696904,1,1959,preinsert,14090.487102,-1470.303329,425.657289,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.796462,1,1959,preinsert,14090.487102,-1470.303329,314.816098,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.896019,1,1959,preinsert,14090.487102,-1470.303329,203.974907,-0.043410939,0.999057301,0.000000000,0.000000000,1
0.995577,1,1959,preinsert,14090.487102,-1470.303329,99.969801,-0.043410939,0.999057301,0.000000000,0.000000000,1
1.095135,1,1959,preinsert,14090.487102,-1470.303329,8.980600,-0.043410939,0.999057301,0.000000000,0.000000000,1
1.194692,1,1959,preinsert,14090.487102,-1470.303329,-64.125402,-0.043410939,0.999057301,0.000000000,0.000000000,1
1.294250,1,1959,preinsert,14090.487102,-1470.303329,-116.449707,-0.043410939,0.999057301,0.000000000,0.000000000,1
1.393808,1,1959,preinsert,14090.487102,-1470.303329,-147.718871,-0.043410939,0.999057301,0.000000000,0.000000000,1
1.493366,1,1959,preinsert,14090.487102,-1470.303329,-160.940770,-0.043410939,0.999057301,0.000000000,0.000000000,1
1.592923,1,1959,insert,14090.487102,-1470.303329,-163.060868,-0.043410939,0.999057301,0.000000000,0.000000000,1
1.676257,1,1959,insert,14090.487102,-1470.303329,-177.540868,-0.043410939,0.999057301,0.000000000,0.000000000,1
